,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Latavius Murray,DEN,8,32,0,3,21,2.6,11,1.4,0,,W
6,Russell Wilson,DEN,4,57,0,3,57,14.3,0,0.0,0,,W
7,Mike Boone,DEN,3,2,0,0,2,0.7,0,0.0,0,,W
8,Marlon Mack,DEN,3,15,0,0,13,4.3,2,0.7,0,,W
9,Brett Rypien,DEN,1,0,0,0,0,0.0,0,0.0,0,,W
0,Latavius Murray,DEN,12,56,0,3,51,4.3,5,0.4,0,,W
1,Chase Edmonds,DEN,7,34,0,0,34,4.9,0,0.0,0,,W
2,Russell Wilson,DEN,4,27,2,3,27,6.8,0,0.0,0,,W
3,Kendall Hinton,DEN,1,0,0,,0,0.0,0,0.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Isiah Pacheco,KAN,9,31,1,3,30,3.3,1,0.1,0,,W
6,Patrick Mahomes,KAN,4,8,0,0,8,2.0,0,0.0,0,,W
7,Jerick McKinnon,KAN,2,4,0,0,4,2.0,0,0.0,0,,W
8,Ronald Jones II,KAN,1,3,0,,3,3.0,0,0.0,0,,W
0,Kenneth Walker III,SEA,26,107,0,6,49,1.9,58,2.2,1,26.0,W
1,Geno Smith,SEA,3,16,0,2,14,4.7,2,0.7,0,,W
2,DeeJay Dallas,SEA,2,10,0,0,7,3.5,3,1.5,0,,W
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
4,Isiah Pacheco,KAN,14,58,0,2,28,2.0,30,2.1,0,,W
5,Jerick McKinnon,KAN,5,7,0,0,2,0.4,5,1.0,0,,W
6,Patrick Mahomes,KAN,2,8,1,1,5,2.5,3,1.5,0,,W
7,Ronald Jones II,KAN,1,4,0,,1,1.0,3,3.0,0,,W
0,Isiah Pacheco,KAN,15,86,0,6,77,5.1,9,0.6,0,,W
1,Jerick McKinnon,KAN,10,52,1,2,45,4.5,7,0.7,1,10.0,W
2,Patrick Mahomes,KAN,5,33,1,3,33,6.6,0,0.0,0,,W
3,Skyy Moore,KAN,2,12,0,,12,6.0,0,0.0,0,,W
4,Ronald Jones II,KAN,1,6,0,,6,6.0,0,0.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Royce Freeman,HOU,11,51,0,3,44,4.0,7,0.6,1,11.0,W
7,Dare Ogunbowale,HOU,8,14,0,1,14,1.8,0,0.0,0,,W
8,Davis Mills,HOU,5,21,1,1,21,4.2,0,0.0,0,,W
9,Jeff Driskel,HOU,4,8,0,0,8,2.0,0,0.0,1,4.0,W
0,Isiah Pacheco,KAN,12,62,1,4,13,1.1,49,4.1,0,,W
1,Clyde Edwards-Helaire,KAN,7,42,0,1,15,2.1,27,3.9,0,,W
2,Jerick McKinnon,KAN,4,22,0,1,11,2.8,11,2.8,0,,W
3,Patrick Mahomes,KAN,3,5,0,1,5,1.7,0,0.0,0,,W
4,Marquez Valdes-Scantling,KAN,1,-3,0,0,-3,-3.0,0,0.0,1,1.0,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,James Conner,ARI,10,26,1,3,1,0.1,25,2.5,0,,W
7,Kyler Murray,ARI,5,29,0,1,29,5.8,0,0.0,0,,W
8,Eno Benjamin,ARI,4,28,0,1,3,0.8,25,6.3,1,4.0,W
9,Trace McSorley,ARI,3,20,0,1,17,5.7,3,1.0,0,,W
0,Isiah Pacheco,KAN,14,66,1,5,37,2.6,29,2.1,1,14.0,L
1,Jerick McKinnon,KAN,8,51,0,2,30,3.8,21,2.6,0,,L
