,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W/L
3,Aaron Rodgers,GNB,15,24,159,9,36.0,260,10.8,92,6.1,3.8,67,4.5,2,8.7%,4,17.4%,1,5,2,2,5,19.2%,1,2.0,L
4,Jordan Love,GNB,2,3,9,1,33.3,10,3.3,3,1.5,1.0,6,3.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,L
0,Kirk Cousins,MIN,20,30,175,7,21.2,167,5.6,76,3.8,2.5,99,5.0,0,0.0%,3,10.7%,3,14,2,3,8,24.2%,0,,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Teddy Bridgewater,MIA,23,34,329,15,38.5,277,8.1,171,7.4,5.0,158,6.9,1,3.1%,3,9.4%,5,1,1,5,11,27.5%,1,10.0,W
3,Skylar Thompson,MIA,7,13,89,3,21.4,133,10.2,63,9.0,4.8,26,3.7,2,15.4%,3,23.1%,1,5,1,2,4,26.7%,1,9.0,W
0,Kirk Cousins,MIN,30,50,357,14,25.9,430,8.6,242,8.1,4.8,115,3.8,3,6.0%,10,20.0%,4,13,2,5,11,19.6%,2,8.0,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Josh Allen,BUF,29,43,330,17,37.8,362,8.4,221,7.6,5.1,109,3.8,1,2.4%,6,14.6%,2,13,5,2,9,18.0%,5,16.8,W
0,Mike White,NYJ,31,57,369,15,25.9,455,8.0,152,4.9,2.7,217,7.0,1,1.8%,12,21.8%,1,11,0,7,8,13.6%,1,4.0,W
1,Garrett Wilson,NYJ,0,1,0,0,0.0,9,9.0,0,,0.0,0,,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Kirk Cousins,MIN,21,35,173,12,32.4,329,9.4,128,6.1,3.7,45,2.1,3,9.1%,5,15.2%,2,6,0,7,9,23.7%,1,11.0,W
0,Kirk Cousins,MIN,17,20,225,10,50.0,166,8.3,121,7.1,6.1,104,6.1,0,0.0%,3,15.0%,0,5,2,0,2,10.0%,0,,W
1,Nick Mullens,MIN,11,13,116,5,38.5,112,8.6,58,5.3,4.5,58,5.3,0,0.0%,0,0.0%,0,3,0,2,2,13.3%,2,3.0,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Nathan Peterman,CHI,11,19,114,7,35.0,185,9.7,77,7.0,4.1,37,3.4,2,10.5%,5,26.3%,1,5,1,1,3,13.6%,2,3.5,W
4,Tim Boyle,CHI,2,8,33,2,25.0,101,12.6,1,0.5,0.1,32,16.0,0,0.0%,3,37.5%,0,1,0,1,1,12.5%,0,,W
0,Kirk Cousins,MIN,27,46,221,16,33.3,258,5.6,117,4.3,2.5,104,3.9,4,8.9%,6,13.3%,2,12,3,6,11,22.0%,2,10.0,L
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
2,Jalen Hurts,PHI,26,31,333,13,38.2,287,9.3,192,7.4,6.2,141,5.4,1,3.2%,3,9.7%,3,5,1,2,6,15.8%,4,4.5,L
0,Mac Jones,NWE,28,39,382,14,33.3,310,7.9,199,7.1,5.1,183,6.5,1,2.9%,2,5.7%,3,6,3,0,6,14.3%,0,,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Kirk Cousins,MIN,30,37,299,15,39.5,208,5.6,171,5.7,4.6,128,4.3,1,2.8%,4,11.1%,1,9,1,3,5,13.2%,0,,W
3,Justin Jefferson,MIN,1,1,11,1,100.0,8,8.0,8,8.0,8.0,3,3.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,W
0,Dak Prescott,DAL,22,25,276,9,36.0,139,5.6,117,5.3,4.7,159,7.2,0,0.0%,3,12.0%,0,5,0,1,1,3.7%,2,2.5,L
1,Cooper Rush,DAL,4,5,31,2,40.0,-2,-0.4,3,0.8,0.6,28,7.0,0,0.0%,0,0.0%,0,4,0,0,0,0.0%,0,,L
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
3,Kirk Cousins,MIN,12,23,105,7,23.3,191,8.3,76,6.3,3.3,29,2.4,1,4.8%,4,19.0%,7,4,0,5,12,40.0%,0,,L
4,Nick Mullens,MIN,5,7,54,3,42.9,27,3.9,18,3.6,2.6,36,7.2,0,0.0%,2,28.6%,0,0,0,1,1,14.3%,0,,L
0,Aaron Rodgers,GNB,22,34,195,9,23.7,190,5.6,61,2.8,1.8,134,6.1,2,6.5%,4,12.9%,4,8,6,1,11,28.9%,0,,W
1,Jordan Love,GNB,4,5,65,4,80.0,29,5.8,29,7.3,5.8,36,9.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Kirk Cousins,MIN,23,32,277,12,36.4,164,5.1,125,5.4,3.9,152,6.6,0,0.0%,8,25.8%,1,5,3,7,11,33.3%,0,,W
0,Matt Ryan,IND,19,33,182,11,30.6,255,7.7,102,5.4,3.1,80,4.2,2,6.1%,8,24.2%,3,14,1,5,9,24.3%,1,1.0,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Kirk Cousins,MIN,34,54,460,22,36.1,430,8.0,180,5.3,3.3,280,8.2,1,1.9%,9,17.0%,7,6,0,4,11,17.7%,1,1.0,W
3,Ryan Wright,MIN,0,1,0,,,8,8.0,0,,0.0,0,,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,W
