,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
12,Dre Greenlaw,SFO,0,7,6,85.7%,77,12.8,11.0,0,112.5,7.3,36,41,1,0,0,0.0,0,8,0,0.0%,W
13,Jimmie Ward,SFO,1,6,5,83.3%,34,6.8,5.7,1,90.3,3.7,19,15,2,0,0,0.0,0,4,0,0.0%,W
14,Deommodore Lenoir,SFO,0,6,3,50.0%,33,11.0,5.5,0,66.7,6.5,21,12,0,0,0,0.0,0,9,0,0.0%,W
15,Talanoa Hufanga,SFO,0,3,2,66.7%,7,3.5,2.3,2,109.7,6.3,7,0,1,0,0,0.0,0,8,0,0.0%,W
16,Samuel Womack,SFO,0,2,2,100.0%,60,30.0,30.0,0,118.7,30.0,60,0,0,0,0,0.0,0,2,0,0.0%,W
17,Azeez Al-Shaair,SFO,0,1,1,100.0%,11,11.0,11.0,0,112.5,3.0,3,8,0,0,0,0.0,0,1,1,50.0%,W
18,Fred Warner,SFO,0,1,1,100.0%,9,9.0,9.0,0,104.2,-5.0,-5,14,1,0,0,0.0,0,12,0,0.0%,W
19,Charvarius Ward,SFO,0,2,1,50.0%,14,14.0,7.0,0,72.9,23.5,14,0,0,0,0,0.0,0,3,0,0.0%,W
20,Ambry Thomas,SFO,0,1,1,100.0%,9,9.0,9.0,0,104.2,8.0,8,1,0,0,0,0.0,0,2,0,0.0%,W
21,Oren Burks,SFO,0,2,1,50.0%,15,15.0,7.5,0,75.0,0.5,6,9,2,0,0,0.0,0,4,0,0.0%,W
22,Demetrius Flannigan-Fowles,SFO,0,1,1,100.0%,6,6.0,6.0,0,91.7,6.0,6,0,1,0,0,0.0,0,4,0,0.0%,W
23,Tashaun Gipson,SFO,0,2,1,50.0%,14,14.0,7.0,0,72.9,15.0,13,1,2,0,0,0.0,0,4,0,0.0%,W
24,Nick Bosa,SFO,0,0,0,,,,,,,,,,0,0,2,2.0,4,7,0,0.0%,W
25,Charles Omenihu,SFO,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%,W
26,Arik Armstead,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,W
27,Samson Ebukam,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,W
28,T.Y. McGill,SFO,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,W
