,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
4,Aaron Jones,GNB,14,111,0,5,80,5.7,31,2.2,1,14.0,L
5,AJ Dillon,GNB,12,41,1,3,11,0.9,30,2.5,0,,L
6,Patrick Taylor,GNB,5,10,0,,4,0.8,6,1.2,0,,L
7,Jordan Love,GNB,1,-1,0,0,-1,-1.0,0,0.0,0,,L
8,Aaron Rodgers,GNB,1,2,1,1,0,0.0,2,2.0,0,,L
0,Dalvin Cook,MIN,13,77,1,1,16,1.2,61,4.7,1,13.0,W
1,Kirk Cousins,MIN,2,-5,0,0,-5,-2.5,0,0.0,0,,W
2,C.J. Ham,MIN,1,3,0,1,2,2.0,1,1.0,0,,W
3,Alexander Mattison,MIN,1,3,0,,1,1.0,2,2.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Raheem Mostert,MIA,14,49,0,2,30,2.1,19,1.4,0,,W
6,Chase Edmonds,MIA,2,3,0,,1,0.5,2,1.0,0,,W
7,Teddy Bridgewater,MIA,1,10,0,1,9,9.0,1,1.0,0,,W
8,Clayton Fejedelem,MIA,1,0,0,,0,0.0,0,0.0,0,,W
9,Alec Ingold,MIA,1,2,0,1,1,1.0,1,1.0,0,,W
10,Skylar Thompson,MIA,1,9,0,1,9,9.0,0,0.0,0,,W
0,Dalvin Cook,MIN,14,119,1,4,20,1.4,99,7.1,0,,W
1,Kirk Cousins,MIN,6,12,0,1,12,2.0,0,0.0,0,,W
2,Alexander Mattison,MIN,3,11,0,1,3,1.0,8,2.7,0,,W
3,C.J. Ham,MIN,1,3,1,1,3,3.0,0,0.0,0,,W
4,K.J. Osborn,MIN,1,2,0,1,0,0.0,2,2.0,1,1.0,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Devin Singletary,BUF,13,47,2,3,26,2.0,21,1.6,1,13.0,W
7,Josh Allen,BUF,6,84,0,4,62,10.3,22,3.7,0,,W
8,James Cook,BUF,5,22,0,,8,1.6,14,2.8,0,,W
9,Duke Johnson,BUF,2,4,0,1,1,0.5,3,1.5,0,,W
10,Isaiah McKenzie,BUF,1,18,0,1,18,18.0,0,0.0,0,,W
0,Zonovan Knight,NYJ,15,90,0,2,77,5.1,13,0.9,0,,W
1,James Robinson,NYJ,4,10,0,1,8,2.0,2,0.5,0,,W
2,Mike White,NYJ,3,7,1,2,5,1.7,2,0.7,0,,W
3,Ty Johnson,NYJ,1,3,0,,3,3.0,0,0.0,0,,W
4,Elijah Moore,NYJ,1,10,0,1,1,1.0,9,9.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Dalvin Cook,MIN,20,86,1,4,76,3.8,10,0.5,0,,W
7,Kirk Cousins,MIN,3,9,0,1,-2,-0.7,11,3.7,0,,W
8,Alexander Mattison,MIN,3,14,1,1,11,3.7,3,1.0,0,,W
9,Justin Jefferson,MIN,2,11,0,0,11,5.5,0,0.0,0,,W
10,Jalen Reagor,MIN,1,8,0,0,5,5.0,3,3.0,0,,W
0,Dalvin Cook,MIN,11,37,0,2,28,2.5,9,0.8,0,,W
1,Alexander Mattison,MIN,10,54,2,7,31,3.1,23,2.3,0,,W
2,Ty Chandler,MIN,6,20,0,1,8,1.3,12,2.0,0,,W
3,Kene Nwangwu,MIN,5,13,0,1,5,1.0,8,1.6,0,,W
4,Nick Mullens,MIN,4,8,0,1,7,1.8,1,0.3,0,,W
5,Jalen Reagor,MIN,1,5,0,0,4,4.0,1,1.0,0,,W
6,Adam Thielen,MIN,1,4,0,0,3,3.0,1,1.0,0,,W
7,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
8,Khalil Herbert,CHI,10,50,0,2,38,3.8,12,1.2,0,,W
9,David Montgomery,CHI,7,21,0,1,7,1.0,14,2.0,0,,W
10,Tim Boyle,CHI,2,-2,0,0,-2,-1.0,0,0.0,0,,W
11,Nathan Peterman,CHI,2,7,0,0,6,3.0,1,0.5,0,,W
12,Velus Jones Jr.,CHI,1,42,1,1,12,12.0,30,30.0,0,,W
0,Dalvin Cook,MIN,6,17,0,1,10,1.7,7,1.2,0,,L
1,Kirk Cousins,MIN,2,20,0,1,7,3.5,13,6.5,0,,L
2,Alexander Mattison,MIN,2,8,0,0,2,1.0,6,3.0,0,,L
3,Jalen Reagor,MIN,1,17,0,1,17,17.0,0,0.0,0,,L
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
5,Miles Sanders,PHI,17,80,0,5,42,2.5,38,2.2,0,,L
6,Jalen Hurts,PHI,11,57,2,3,47,4.3,10,0.9,3,3.7,L
