,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W/L
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Brock Purdy,SFO,16,21,185,8,38.1,110,5.2,113,7.1,5.4,72,4.5,0,0.0%,3,15.0%,0,7,0,4,4,18.2%,1,2.0,W
3,Josh Johnson,SFO,1,2,10,1,50.0,2,1.0,6,6.0,3.0,4,4.0,0,0.0%,0,0.0%,0,2,0,0,0,0.0%,0,,W
0,David Blough,ARI,14,18,180,5,23.8,103,5.7,37,2.6,2.1,143,10.2,1,5.6%,1,5.6%,3,6,0,2,5,23.8%,0,,W
1,Trace McSorley,ARI,6,9,29,1,11.1,77,8.6,19,3.2,2.1,10,1.7,0,0.0%,1,11.1%,0,2,1,0,1,10.0%,1,9.0,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Brock Purdy,SFO,15,20,178,10,41.7,107,5.4,71,4.7,3.6,107,7.1,3,15.0%,0,0.0%,4,10,1,1,6,23.1%,2,7.5,W
0,Jimmy Garoppolo,SFO,20,29,228,13,44.8,176,6.1,76,3.8,2.6,152,7.6,1,3.4%,4,13.8%,0,8,1,4,5,17.2%,0,,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Colt McCoy,ARI,24,34,218,8,21.6,167,4.9,95,4.0,2.8,123,5.1,3,9.1%,4,12.1%,3,5,1,5,9,23.1%,2,3.5,W
3,Trace McSorley,ARI,6,10,59,4,40.0,87,8.7,49,8.2,4.9,10,1.7,0,0.0%,2,22.2%,0,3,2,0,2,20.0%,0,,W
0,Andy Dalton,NOR,18,29,204,8,26.7,216,7.4,112,6.2,3.9,92,5.1,0,0.0%,6,20.7%,1,7,0,3,4,11.8%,4,5.3,W
1,Taysom Hill,NOR,0,1,0,,,30,30.0,0,,0.0,0,,1,100.0%,0,0.0%,0,0,0,1,1,100.0%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Jimmy Garoppolo,SFO,26,37,222,12,31.6,195,5.3,99,3.8,2.7,123,4.7,1,2.7%,5,13.5%,1,11,0,5,6,15.8%,0,,W
0,Brock Purdy,SFO,17,26,217,8,29.6,152,5.8,83,4.9,3.2,134,7.9,1,3.8%,5,19.2%,1,2,1,2,4,14.3%,1,1.0,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Geno Smith,SEA,31,44,238,12,25.5,179,4.1,128,4.1,2.9,110,3.5,1,2.4%,2,4.9%,3,11,2,6,11,22.9%,1,18.0,W
0,Josh Johnson,SFO,7,13,74,3,20.0,67,5.2,22,3.1,1.7,52,7.4,1,9.1%,2,18.2%,2,4,2,4,8,53.3%,0,,L
1,Brock Purdy,SFO,4,4,23,1,20.0,9,2.3,9,2.3,2.3,14,3.5,0,0.0%,0,0.0%,1,2,0,0,1,20.0%,0,,L
2,Christian McCaffrey,SFO,0,1,0,0,0.0,39,39.0,0,,0.0,0,,0,0.0%,0,0.0%,0,1,0,1,1,100.0%,0,,L
3,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
4,Jalen Hurts,PHI,15,25,121,6,23.1,243,9.7,71,4.7,2.8,50,3.3,1,4.2%,4,16.7%,1,5,2,2,5,18.5%,1,7.0,L
0,Justin Herbert,LAC,21,35,196,7,18.9,216,6.2,103,4.9,2.9,93,4.4,3,9.4%,3,9.4%,2,6,0,6,8,20.0%,3,6.0,W
1,Chase Daniel,LAC,0,2,0,,,-10,-5.0,0,,0.0,0,,1,50.0%,1,50.0%,1,0,0,1,2,66.7%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Jimmy Garoppolo,SFO,19,28,240,10,34.5,175,6.3,102,5.4,3.6,138,7.3,1,3.6%,7,25.0%,1,3,1,0,2,6.7%,1,2.0,W
0,Geno Smith,SEA,25,35,253,14,36.8,326,9.3,176,7.0,5.0,77,3.1,1,2.9%,6,17.6%,3,6,0,0,3,7.3%,3,9.7,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Brock Purdy,SFO,18,30,332,15,48.4,378,12.6,147,8.2,4.9,185,10.3,1,3.7%,4,14.8%,1,5,0,2,3,9.4%,1,13.0,W
0,Jimmy Garoppolo,SFO,18,30,253,12,37.5,235,7.8,110,6.1,3.7,143,7.9,7,23.3%,2,6.7%,2,12,1,3,6,18.8%,0,,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Baker Mayfield,CAR,20,36,215,7,17.5,271,7.5,106,5.3,2.9,109,5.5,2,5.9%,5,14.7%,4,15,3,2,9,22.5%,0,,W
3,P.J. Walker,CAR,5,6,60,3,37.5,76,12.7,46,9.2,7.7,14,2.8,0,0.0%,1,16.7%,2,3,0,0,2,25.0%,0,,W
0,Tua Tagovailoa,MIA,18,33,295,11,30.6,371,11.2,175,9.7,5.3,120,6.7,4,12.1%,6,18.2%,3,4,0,3,6,16.7%,0,,W
