,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
2,Jamal Agnew,JAX,4,3,4,0,,-7,-2.3,11,3.7,1.3,0,,0,0.0,0,77.1,W
3,Evan Engram,JAX,4,3,14,0,1,2,0.7,12,4.0,7.5,0,,0,0.0,0,79.2,W
4,Travis Etienne,JAX,3,3,28,0,1,-14,-4.7,42,14.0,-4.7,0,,0,0.0,0,105.6,W
5,Dan Arnold,JAX,1,1,8,0,,5,5.0,3,3.0,5.0,0,,0,0.0,0,100.0,W
6,Marvin Jones,JAX,3,1,33,0,1,29,29.0,4,4.0,24.7,0,,0,0.0,0,75.7,W
7,Jamycal Hasty,JAX,2,1,-1,0,,-2,-2.0,1,1.0,-4.0,0,,1,50.0,0,56.2,W
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
9,Travis Kelce,KAN,7,6,81,1,5,42,7.0,39,6.5,6.0,0,,0,0.0,0,154.5,W
10,Jerick McKinnon,KAN,8,6,56,0,3,12,2.0,44,7.3,3.4,0,,1,12.5,1,54.2,W
11,Kadarius Toney,KAN,5,4,57,1,3,26,6.5,31,7.8,7.0,2,2.0,1,20.0,0,153.7,W
12,Marquez Valdes-Scantling,KAN,4,3,60,1,2,56,18.7,4,1.3,17.5,0,,0,0.0,0,156.2,W
13,Noah Gray,KAN,2,2,20,1,1,15,7.5,5,2.5,7.5,0,,0,0.0,0,147.9,W
14,JuJu Smith-Schuster,KAN,4,2,33,0,2,30,15.0,3,1.5,11.5,0,,1,25.0,0,78.1,W
15,Jody Fortson,KAN,1,1,6,0,,1,1.0,5,5.0,1.0,0,,0,0.0,0,91.7,W
16,Skyy Moore,KAN,1,1,6,0,,3,3.0,3,3.0,3.0,0,,0,0.0,0,91.7,W
17,Justin Watson,KAN,1,1,12,0,1,12,12.0,0,0.0,12.0,0,,0,0.0,0,116.7,W
18,Clyde Edwards-Helaire,KAN,2,0,0,0,,0,,0,,0.5,0,,0,0.0,0,39.6,W
0,Travis Kelce,KAN,10,6,115,3,5,27,4.5,88,14.7,5.7,0,,0,0.0,0,139.6,W
1,Skyy Moore,KAN,6,5,63,0,4,56,11.2,7,1.4,11.5,0,,0,0.0,0,110.4,W
2,Justin Watson,KAN,4,3,67,0,2,54,18.0,13,4.3,21.3,0,,0,0.0,0,116.7,W
3,Jody Fortson,KAN,2,2,51,0,2,39,19.5,12,6.0,19.5,0,,0,0.0,0,118.7,W
4,Noah Gray,KAN,3,2,15,0,1,-1,-0.5,16,8.0,5.3,0,,0,0.0,0,78.5,W
5,Jerick McKinnon,KAN,1,1,0,0,0,-2,-2.0,2,2.0,-5.0,0,,0,0.0,0,79.2,W
6,Marquez Valdes-Scantling,KAN,4,1,18,0,1,17,17.0,1,1.0,15.5,0,,1,25.0,0,45.8,W
7,Kadarius Toney,KAN,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6,W
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
9,Josh Palmer,LAC,10,8,106,2,5,74,9.3,32,4.0,11.1,0,,0,0.0,0,150.4,W
10,Keenan Allen,LAC,8,5,94,0,3,66,13.2,28,5.6,12.1,0,,0,0.0,1,63.5,W
11,DeAndre Carter,LAC,3,3,33,0,1,18,6.0,15,5.0,6.0,0,,0,0.0,0,112.5,W
12,Austin Ekeler,LAC,2,2,17,0,1,4,2.0,13,6.5,2.0,0,,0,0.0,0,102.1,W
13,Isaiah Spiller,LAC,2,2,11,0,0,-5,-2.5,16,8.0,-2.5,0,,0,0.0,0,89.6,W
14,Mike Williams,LAC,1,1,15,0,1,15,15.0,0,0.0,15.0,0,,0,0.0,0,118.7,W
15,Stone Smartt,LAC,1,1,6,0,1,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7,W
16,Justin Herbert,LAC,1,1,-2,0,0,-7,-7.0,5,5.0,-7.0,0,,0,0.0,0,79.2,W
17,Michael Bandy,LAC,1,0,0,0,,0,,0,,-8.0,0,,0,0.0,0,39.6,W
