,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
0,Kris Boyd,MIN,0,4,3,75.0%,25,8.3,6.3,1,130.2,3.0,11,14,0,0,0,0.0,0,5,0,0.0%,W
1,Chandon Sullivan,MIN,0,3,2,66.7%,13,6.5,4.3,0,75.7,5.7,12,1,0,0,0,0.0,0,3,0,0.0%,W
2,Jordan Hicks,MIN,0,2,2,100.0%,33,16.5,16.5,0,118.7,0.5,1,32,0,0,0,0.0,0,2,0,0.0%,W
3,Patrick Jones II,MIN,0,1,1,100.0%,13,13.0,13.0,0,118.7,1.0,1,12,0,0,1,1.0,2,4,0,0.0%,W
4,Camryn Bynum,MIN,0,2,1,50.0%,13,13.0,6.5,0,70.8,12.0,6,7,0,0,0,0.0,0,4,0,0.0%,W
5,Duke Shelley,MIN,1,5,1,20.0%,20,20.0,4.0,0,4.2,22.8,20,0,0,0,0,0.0,0,3,0,0.0%,W
6,Patrick Peterson,MIN,1,3,1,33.3%,28,28.0,9.3,0,29.2,28.3,27,1,1,0,0,0.0,0,2,0,0.0%,W
7,Esezi Otomewo,MIN,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-4.0,-4,3,0,0,0,0.0,0,1,0,0.0%,W
8,Eric Kendricks,MIN,0,2,1,50.0%,3,3.0,1.5,0,56.2,0.0,4,-1,2,0,0,0.0,0,3,0,0.0%,W
9,D.J. Wonnum,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%,W
10,Dalvin Tomlinson,MIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,W
11,Josh Metellus,MIN,0,3,0,0.0%,,,0.0,,39.6,13.0,,,0,0,0,0.0,0,2,0,0.0%,W
12,Troy Dye,MIN,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,1,0,0,0.0,0,2,0,0.0%,W
13,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
14,Harrison Hand,CHI,0,8,7,87.5%,63,9.0,7.9,0,99.5,5.3,32,31,0,0,0,0.0,0,9,0,0.0%,W
