,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
17,Damarri Mathis,DEN,0,9,7,77.8%,74,10.6,8.2,0,100.9,7.9,25,49,0,0,0,0.0,0,5,2,28.6%,W
18,Josey Jewell,DEN,2,10,6,60.0%,71,11.8,7.1,0,42.1,5.6,15,56,4,0,0,0.0,0,10,0,0.0%,W
19,Justin Simmons,DEN,0,5,4,80.0%,33,8.3,6.6,2,133.7,4.6,13,20,1,0,0,0.0,0,6,0,0.0%,W
20,Kareem Jackson,DEN,0,5,3,60.0%,43,14.3,8.6,0,87.9,6.0,12,31,1,0,0,0.0,0,10,2,16.7%,W
21,Alex Singleton,DEN,0,5,3,60.0%,60,20.0,12.0,1,141.7,8.6,2,58,3,0,0,0.0,0,8,1,11.1%,W
22,Patrick Surtain II,DEN,1,4,2,50.0%,32,16.0,8.0,0,37.5,15.5,16,16,1,0,1,0.0,1,2,1,33.3%,W
23,K'Waun Williams,DEN,0,2,1,50.0%,7,7.0,3.5,0,58.3,8.5,4,3,2,1,0,0.0,1,4,0,0.0%,W
24,Jonathon Cooper,DEN,0,1,1,100.0%,8,8.0,8.0,0,100.0,-3.0,-3,11,2,0,0,1.0,1,2,0,0.0%,W
25,D.J. Jones,DEN,0,1,1,100.0%,24,24.0,24.0,0,118.7,-5.0,-5,29,0,0,0,0.0,0,0,0,,W
26,Baron Browning,DEN,0,0,0,,,,,,,,,,0,0,2,0.0,2,1,0,0.0%,W
27,Dre'Mont Jones,DEN,0,0,0,,,,,,,,,,0,0,0,1.0,1,5,0,0.0%,W
28,Jacob Martin,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,W
29,Nik Bonitto,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,W
0,Alex Singleton,DEN,0,4,4,100.0%,32,8.0,8.0,1,139.6,2.5,10,22,2,0,0,0.0,0,8,0,0.0%,W
1,Justin Simmons,DEN,1,6,4,66.7%,70,17.5,11.7,0,66.7,10.7,51,19,0,0,0,0.0,0,1,0,0.0%,W
2,Lamar Jackson,DEN,0,10,4,40.0%,88,22.0,8.8,0,72.1,15.6,65,23,0,0,0,0.0,0,3,0,0.0%,W
3,Josey Jewell,DEN,0,6,4,66.7%,48,12.0,8.0,1,130.6,7.3,20,28,2,0,0,0.0,0,7,0,0.0%,W
4,K'Waun Williams,DEN,0,5,3,60.0%,33,11.0,6.6,0,79.6,6.6,-3,36,3,0,0,0.0,0,0,1,100.0%,W
5,Jonathon Cooper,DEN,0,2,2,100.0%,19,9.5,9.5,0,106.2,0.5,1,18,1,0,1,0.0,1,4,0,0.0%,W
6,Damarri Mathis,DEN,0,2,2,100.0%,10,5.0,5.0,0,87.5,5.0,10,0,0,0,0,0.0,0,4,1,20.0%,W
7,Kareem Jackson,DEN,0,3,2,66.7%,10,5.0,3.3,0,71.5,3.7,3,7,0,0,0,0.0,0,7,1,12.5%,W
8,DeShawn Williams,DEN,0,1,1,100.0%,6,6.0,6.0,0,91.7,-9.0,-9,15,0,0,1,0.0,1,3,0,0.0%,W
9,Mike Purcell,DEN,0,1,1,100.0%,6,6.0,6.0,1,131.2,-4.0,-4,10,0,0,1,0.0,1,2,0,0.0%,W
10,Wyatt Ray,DEN,0,1,1,100.0%,3,3.0,3.0,0,79.2,-4.0,-4,7,0,0,0,0.0,0,1,0,0.0%,W
11,Jonathan Harris,DEN,0,1,1,100.0%,3,3.0,3.0,0,79.2,1.0,1,2,0,0,0,0.0,0,5,0,0.0%,W
12,Nik Bonitto,DEN,0,0,0,,,,,,,,,,3,1,0,0.0,1,0,0,,W
13,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
14,Nick Bolton,KAN,0,8,7,87.5%,101,14.4,12.6,0,118.7,7.6,42,59,0,0,0,0.0,0,9,1,10.0%,W
